"class","order","family","genus","sci_name","alt_names","tax_level","life_stage","body_shape","body_shape_ordinal","shape_eel_like","shape_elongated","shape_fusiform","shape_globiform","shape_compressiform","shape_depressiform","l_min_TL","l_max_TL","l_min","l_min_type","l_max","l_max_type","l_note","l_ref","l_url","l_ref2","l_url2","l_ref3","l_url3","l_ref4","l_url4","phys_defense","defense_spines_num","defense_spines","exoskeleton","exoskeleton_note","transparent","col_disrupt","col_disrupt_type","silver","countershade","countershade_silver_note","countershade_ref","countershade_url","silver_ref","silver_url","photophore_num","photophore","photophore_note","photophore_ref","photophore_url","photophore_ref2","photophore_url2","addl_ref","addl_url","addl_ref2","addl_url2","addl_ref3","addl_url3","addl_ref4","addl_url4","TL_BH","SL_BH","TL_TH","SL_TH","SL_TL","eye_TL","sd_TL_BH","sd_SL_BH","sd_TL_TH","sd_SL_TH","sd_SL_TL","sd_eye_TL","n_TL_BH","n_SL_BH","n_TL_TH","n_SL_TH","n_SL_TL","n_eye_TL"
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis felis",NA,"species","larva","fusiform",3,0,0,1,0,0,0,NA,NA,0.13,"ML",0.53,"ML",NA,"Scripps Institution of Oceanography. Scripps Institution of Oceanography https://scripps.ucsd.edu/home (2023).","http://sio-legacy.ucsd.edu/zooplanktonguide/species/abraliopsis-felis",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,"present",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis gilchristi",NA,"species","adult","fusiform",3,0,0,1,0,0,0,NA,12.0727221190135,NA,NA,5.1,"ML",NA,"Palomares, M. L. D. & Pauly, D. SeaLifeBase. SeaLifeBase https://www.sealifebase.ca/ (2023).","https://www.sealifebase.se/summary/Abraliopsis-gilchristi.html",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,"present",1,NA,"Young, R. E. & Tsuchiya, K. Abraliopsis gilchristi. Tree of Life Project http://tolweb.org/Abraliopsis_gilchristi/19687 (2013).","http://tolweb.org/Abraliopsis_gilchristi/19687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63084699136462,2.37673120528329,2.37619241547317,1.00521548186716,0.422439939371084,0.0501037359549266,0.164796705078589,0.064559787093467,0.118923331526914,0.106859850701111,0.0238288302632254,0.00335144706548061,2,2,2,2,2,2
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis gilchristi",NA,"species","juvenile","fusiform",3,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,"present",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis gilchristi",NA,"species","larva","fusiform",3,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,"present",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis morisii",NA,"species","adult","fusiform",3,0,0,1,0,0,0,NA,10.0189824057196,NA,NA,3.5,"ML",NA,"Palomares, M. L. D. & Pauly, D. SeaLifeBase. SeaLifeBase https://www.sealifebase.ca/ (2023).","https://www.sealifebase.se/summary/Abraliopsis-morisii.html",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,"present",1,NA,"Tsuchiya, K. & Young, R. E. Abraliopsis morisii. Tree of Life Project http://tolweb.org/Abraliopsis_morisii/19691 (2013).","http://tolweb.org/Abraliopsis_morisii/19691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.38990602283222,2.86750319386579,3.5887785787343,1.12288442340317,0.349336874571408,0.0421377421237308,2.45990393505079,0.426860530038561,NA,NA,0.0515470162837413,0.0100522368641493,2,2,1,1,2,2
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis morisii",NA,"species","juvenile","fusiform",3,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,"present",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis morisii",NA,"species","larva","fusiform",3,0,0,1,0,0,0,NA,NA,0.3,"ML",1.3,"ML","Min is smallest larva I observed, max is largest.","Zaragoza, N., Quetglas, A. & Moreno, A. Identification guide for cephalopod paralarvae from the Mediterranean Sea. ICES Cooperative Research Report 1–91 (2015) doi:10.17895/ICES.PUB.5492.","10.17895/ICES.PUB.5492",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,"present",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica",NA,"species","adult","elongated",2,0,1,0,0,0,0,3.49761715147225,33.7270225320538,2.8,"CL",27,"CL","Carapace lengths. Used length max for Pandalus platyceros.","Pacific, A. of the. Aquarium of the Pacific. https://www.aquariumofpacific.org/ (2023).","http://www.aquariumofpacific.org/onlinelearningcenter/species/spot_prawn",NA,NA,NA,NA,NA,NA,1,0,0,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"Google Images. https://images.google.com/ (2023).","https://images.google.com/",NA,NA,NA,NA,NA,NA,6.23705788599511,4.9197382078617,6.23705788599511,4.9197382078617,0.800545022150694,0.0221404596661903,1.2321934090912,0.436114821436728,1.2321934090912,0.436114821436728,0.0747719820176846,0.00681401595856658,6,6,6,6,6,6
"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica",NA,"species","juvenile","elongated",2,0,1,0,0,0,0,NA,3.77011765249224,NA,NA,2.8,"CL","Carapace lengths",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"Google Images. https://images.google.com/ (2023).","https://images.google.com/",NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri",NA,"species","adult","-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,"-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,"-9999",-9999,-9999,"-9999","-9999","-9999","-9999","-9999","-9999",-9999,"-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999",NA,NA,7.08933349556167,6.86257460798137,4.8574436059315,4.69076090894487,0.968131106472744,0.0206354274569091,0.278087866647663,0.249731238142632,0.306010786303168,0.298047870554542,0.00844930616264772,0.00455871783905723,6,6,4,4,6,6
"Actinopterygii","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","Acanthocybium solandri","species","larva","fusiform",3,0,0,1,0,0,0,0.25,NA,0.25,"TL",NA,NA,NA,"Gardieff, S. Acanthocybium solandri. Florida Museum - Discover Fishes https://www.floridamuseum.ufl.edu/discover-fish/species-profiles/acanthocybium-solandri/ (2018).","https://www.floridamuseum.ufl.edu/discover-fish/species-profiles/acanthocybium-solandri/",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,0,NA,1,0,NA,NA,NA,"Ianniello, L. Images Tagged ‘Wahoo-Larva’. Linda I Photography https://lindaiphotography.com/ngg_tag/wahoo-larva/ (2023).","https://lindaiphotography.com/ngg_tag/wahoo-larva/","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus triostegus","Acanthurus triostegus; Acanthurus hirudo Bennett, 1829; Acanthurus pentazona Bleeker, 1850; Acanthurus sandvicensis Streets, 1877· accepted, alternate representation; Acanthurus subarmatus Bennett, 1840; Acanthurus triostegus marquesensis Schultz & Woods, 1948; Acanthurus triostegus sandvicensis Streets, 1877 (synonym); Acanthurus triostegus triostegus (Linnaeus, 1758); Acanthurus zebra Lacepède, 1802; Chaetodon couaga Lacepède, 1802; Chaetodon triostegus Linnaeus, 1758; Harpurus fasciatus Forster, 1801; Hepatus sandvicensis (Streets, 1877); Hepatus triostegus (Linnaeus, 1758); Rhombotides pentazona (Bleeker, 1850); Rhombotides triostegus (Linnaeus, 1758); Teuthis australis Gray, 1827; Teuthis elegans Garman, 1899; Teuthis sandvicensis (Streets, 1877); Teuthis triostegus (Linnaeus, 1758); Teuthis troughtoni Whitley, 1930","species","larva","compressiform",4,0,0,0,0,1,0,NA,3.2,0.17,"SL",3.2,"TL","no length type given on FishBase for max","Froese, R. & Pauly, D. FishBase. FishBase https://www.fishbase.se/search.php (2023).","https://www.fishbase.se/summary/Acanthurus-triostegus.html","Randall, J. E. A Contribution to the Biology of the Convict Surgeonfish of the Hawaiian Islands, Acanthurus triostegus sandoicensis. Pacific Science 15, 515–272 (1961).","https://scholarspace.manoa.hawaii.edu/server/api/core/bitstreams/531ee0dc-3cf9-4448-bd4b-96b0a6374168/content",NA,NA,NA,NA,0,0,0,0,NA,1,1,"stripes",0,0,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Pleuronectiformes","Achiridae","Achirus","Achirus mazatlanus","Achirus mazatlanus; Solea mazatlana Steindachner, 1871","species","larva","compressiform",4,0,0,0,0,1,0,0.13,NA,0.13,"BL",NA,NA,NA,"Aceves-Medina, G., Saldierna-Martínez, R. J. & González-Navarro, E. A. Distribution and abundance by larval developmental stages of Symphurus williamsi (Pleuronectiformes: Cynoglossidae) in the Gulf of California. Sci. Mar. 70, 291–302 (2006).","10.3989/scimar.2006.70n2291",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Hydrozoa","Narcomedusae","Aeginidae","Aegina","Aegina citrea",NA,"species","adult","globiform",6,0,0,0,1,0,0,1,5,1,"WD",5,"WD","Classified this species as small (10-20mm), max from sealifebase","Larson, R. J., Mills, C. E. & Harbison, G. R. In Situ Foraging and Feeding Behaviour of Narcomedusae (Cnidaria: Hydrozoa). Journal of the Marine Biological Association of the United Kingdom 69, 785–794 (1989).","10.1017/S002531540003215X",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21377839801582,2.21377839801582,2.21377839801582,2.21377839801582,1,0,0.547419898425477,0.547419898425477,0.547419898425477,0.547419898425477,0,0,6,6,6,6,6,6
"Hydrozoa","Narcomedusae","Aeginidae","Aegina","Aegina citrea",NA,"species","juvenile","-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,"-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,"-9999",-9999,-9999,"-9999","-9999","-9999","-9999","-9999","-9999",-9999,"-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria",NA,"species","adult","globiform",6,0,0,0,1,0,0,3,12,3,"BD",12,"BD","Bell Diameter ,:Specimens larger than 3 cm usually possess gonads for sexual reproduction","Aequorea victoria. Wikipedia https://en.wikipedia.org/w/index.php?title=Aequorea_victoria&oldid=1165832303 (2023).","https://en.wikipedia.org/w/index.php?title=Aequorea_victoria&oldid=1165832303","Fretwell, K. & Starzomski, B. Water jellies, crystal jelly • Aequorea spp.: Aequorea victoria, Aquorea aquorea, Aquorea forskalea, Aequorea flava. Biodiversity of the Central Coast https://www.centralcoastbiodiversity.org/water-jellies-bull-aequorea-spp.html (2013).","https://www.centralcoastbiodiversity.org/water-jellies-bull-aequorea-spp.html","Mills, C. E. Vertical migration and diel activity patterns of hydromedusae: studies in a large tank. Journal of Plankton Research 5, 619–635 (1983).","10.1093/plankt/5.5.619",NA,NA,0,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"Encyclopedia of Life. https://eol.org/ (2023).","https://eol.org/pages/46552978","Frawley, J. & Zaleski, R. Habitat. Aequorea victoria: The Glowing Glob - BIO203 http://bioweb.uwlax.edu/bio203/f2013/zaleski_rona/habitat.htm (2013).","http://bioweb.uwlax.edu/bio203/f2013/zaleski_rona/habitat.htm",NA,NA,NA,NA,1.73086995107366,1.73086995107366,1.73086995107366,1.73086995107366,1,0,0.474036381217389,0.474036381217389,0.474036381217389,0.474036381217389,0,0,6,6,6,6,6,6
"Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria",NA,"species","juvenile","-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,"-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,"-9999",-9999,-9999,"-9999","-9999","-9999","-9999","-9999","-9999",-9999,"-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999",NA,NA,1.50119526826856,1.16139585083693,1.50119526826856,1.16139585083693,0.845952453427718,0,0.614983226012219,0.0794582052261362,0.614983226012219,0.0794582052261362,0.266818177444525,0,3,3,3,3,3,3
