"class","order","family","genus","sci_name","tax_level","life_stage","depth_min","depth_max","temp_min","temp_max","temp_mean","vert_habitat","vert_benthic","vert_demersal","vert_epipelagic","vert_mesopelagic","vert_bathypelagic","horz_habitat","horz_intertidal","horz_reef","horz_coastal","horz_continental_shelf","horz_continental_slope","horz_oceanic","diel_migrant","refuge","season_migrant","body_shape","l_min_TL","l_max_TL","phys_defense","defense_spines","exoskeleton","transparent","col_disrupt","silver","countershade","photophore","gregarious","gregarious_solitary","gregarious_shoaling","gregarious_schooling","trophic_level","IUCN_status","commercial","recreational","lipid","protein","energy","lipid_pacific","protein_pacific","energy_pacific","TL_BH","SL_BH","TL_TH","SL_TH","SL_TL","eye_TL"
"Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria","species","adult",0,6,7,13,10,"epipelagic",0,0,1,0,0,"oceanic",0,0,0,1,0,1,0,0,1,"globiform",3,12,0,0,0,1,0,0,0,0,"solitary",1,0,0,NA,"NE",0,0,0.6,0.1848,0.0573495999999999,0.6,0.1848,0.0573495999999999,1.73086995107366,1.73086995107366,1.73086995107366,1.73086995107366,1,0
"Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria","species","juvenile",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,0.6,0.1848,0.0573495999999999,0.6,0.1848,0.0573495999999999,1.50119526826856,1.16139585083693,1.50119526826856,1.16139585083693,0.845952453427718,0
"Actinopterygii","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis sterletus","species","adult",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.70859179937233,7.05165538988634,3.67725850573071,3.31937289112207,0.894059272632536,0.0427742060718678
"Actinopterygii","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis sterletus","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"coastal",0,0,1,0,0,0,NA,1,NA,"elongated",NA,NA,1,1,0,0,0,0,0,0,"schooling",0,0,1,NA,"NE",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis vulsa","species","adult",0,163,5.3,11.7,9.1,"demersal",0,1,1,0,0,"coastal",0,0,1,0,0,0,NA,1,0,"elongated",13,20,1,1,0,0,1,0,0,0,"solitary",1,0,0,3.3,"NE",0,0,NA,NA,NA,NA,NA,NA,7.82504420077438,6.7588061748231,4.19241554855688,3.63913456145649,0.86356361016983,0.0509150124757145
"Actinopterygii","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis vulsa","species","juvenile",0,163,5.3,11.7,9.1,"demersal",0,1,1,0,0,"coastal",0,0,1,0,0,0,NA,1,0,"elongated",2.85296808478186,13,1,1,0,0,1,0,0,0,"solitary",1,0,0,NA,"NE",0,0,NA,NA,NA,NA,NA,NA,7.34764987202887,6.43936485468555,4.8438050112696,4.21810374611322,0.876280394910604,0.0418241124944206
"Actinopterygii","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis vulsa","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"coastal",0,0,1,0,0,0,NA,1,NA,"elongated",NA,NA,1,1,0,0,0,0,0,0,"schooling",0,0,1,NA,"NE",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Aulopiformes","Notosudidae","Ahliesaurus","Ahliesaurus brevis","species","adult",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.1886354914897,9.87879021071912,4.13742698647236,3.65326148796597,0.87999594021884,0.0357944584029549
"Actinopterygii","Aulopiformes","Notosudidae","Ahliesaurus","Ahliesaurus brevis","species","larva",0,600,NA,NA,NA,"epipelagic",0,0,1,1,0,"oceanic",0,0,0,0,0,1,NA,0,NA,"elongated",NA,NA,0,0,0,0,0,1,1,0,"schooling",0,0,1,NA,"NE",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Gadiformes","Macrouridae","Albatrossia","Albatrossia pectoralis","species","adult",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,5.5,10.55,4.67533,5.5,10.55,4.67533,5.9338325257414,5.9338325257414,4.2492720135466,4.2492720135466,1,0.0434499177168851
"Actinopterygii","Gadiformes","Macrouridae","Albatrossia","Albatrossia pectoralis","species","larva",NA,NA,NA,NA,NA,"bathypelagic",0,0,0,0,1,"continental slope",0,0,0,0,1,0,NA,0,NA,"elongated",NA,NA,0,0,0,0,0,0,0,0,"schooling",0,0,1,NA,"NE",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox","species","adult",0,1830,4.7,14.6,8.9,"mesopelagic",0,0,1,1,1,"oceanic",0,0,1,0,0,1,1,0,1,"elongated",44,215,0,0,0,0,0,1,0,0,"shoaling",1,1,0,4.03,"LC",0,0,NA,NA,1.7,NA,NA,NA,14.3410788483398,12.6310268449646,3.41790099163211,3.00363663837705,0.881745650515243,0.0260265732773525
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox","species","juvenile",0,1830,4.7,14.6,8.9,"mesopelagic",0,0,1,1,1,"oceanic",0,0,1,0,0,1,1,0,1,"elongated",NA,NA,0,0,0,0,0,1,0,0,"shoaling",0,1,0,NA,"LC",0,0,NA,NA,1.7,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"oceanic",0,0,0,0,0,1,1,0,NA,"elongated",NA,NA,0,0,0,1,0,1,0,0,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Perciformes","Labrisomidae","Alloclinus","Alloclinus holderi","species","adult",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.04860813164312,4.4659891149032,2.72232951639789,2.403785067559,0.88617630086669,0.0569294929822191
"Actinopterygii","Perciformes","Labrisomidae","Alloclinus","Alloclinus holderi","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"coastal",0,0,1,0,0,0,NA,NA,0,"elongated",NA,NA,1,1,0,0,0,0,0,0,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus","species","adult",1,103,10.3,12.8,11.6,"demersal",0,1,1,0,0,"coastal",0,0,1,0,0,0,1,0,1,"elongated",NA,22.9,0,0,0,0,0,1,0,0,"schooling",0,0,1,3.3,"NE",1,0,4.6586424,NA,4.84933581777778,4.85,NA,4.84933581777778,6.91456371512547,5.66240278245119,4.1323040376577,3.42743208928321,0.818718000389247,0.0496721020254963
"Actinopterygii","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus","species","juvenile",1,103,10.3,12.8,11.6,"demersal",0,1,1,0,0,"coastal",0,0,1,0,0,0,NA,0,NA,"elongated",NA,NA,0,0,0,0,0,1,1,0,"schooling",0,0,1,NA,"NE",0,0,4.6586424,NA,4.84933581777778,4.85,NA,4.84933581777778,NA,NA,NA,NA,NA,NA
"Actinopterygii","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"coastal",0,0,1,0,0,0,NA,0,1,"elongated",NA,NA,0,0,0,1,0,1,1,0,"schooling",0,0,1,NA,"NE",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis","Alloteuthis subulata","species","adult",0,630,7.4,19.4,10.8,"demersal",1,1,0,0,0,"continental shelf",0,0,0,1,0,0,1,0,1,"fusiform",10.7577957595899,28.9632962758189,0,0,0,0,1,0,0,0,"schooling",0,0,1,4.5,"DD",1,0,1.3,16.4,3.9,NA,NA,NA,7.0034787439957,5.13493641779093,3.6020769691776,2.76010293302463,0.72505559450195,0.0453206076564145
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis","Alloteuthis subulata","species","juvenile",0,630,7.4,19.4,10.8,"demersal",1,1,0,0,0,"continental shelf",0,0,0,1,0,0,1,0,1,"fusiform",4.58044960956202,11.9091689848612,0,0,0,0,1,0,0,0,"schooling",0,0,1,NA,"DD",0,0,1.3,16.4,3.9,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis","Alloteuthis subulata","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"continental shelf",0,0,0,1,0,0,1,0,1,"globiform",0.0565403087347646,6.78483704817175,0,0,0,1,0,0,0,0,"schooling",0,0,1,NA,"DD",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus","species","adult",0,650,11.6,28.2,23.3,"epipelagic",0,0,1,0,0,"oceanic",0,0,1,1,0,1,NA,NA,NA,"fusiform",155,573.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"VU",1,0,NA,NA,NA,NA,NA,NA,8.61252470532176,4.35919628150172,2.56714190128477,1.30586446049644,0.51255973729498,0.011206397133481
"Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus","species","juvenile",0,650,11.6,28.2,23.3,"epipelagic",0,0,1,0,0,"coastal",0,0,1,1,0,0,NA,NA,NA,"fusiform",NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",1,0,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima","species","adult",0,250,0.5,11.5,5.6,"epipelagic",0,0,1,1,0,"continental shelf",0,0,1,1,0,0,1,0,1,"fusiform",38,76,0,0,0,0,0,1,1,0,"schooling",0,1,1,3.5,"LC",1,1,5.975,NA,5.88587781,6.8,NA,5.88587781,4.20687589715583,3.45124189621824,2.85605973737511,2.36246851075632,0.82257215051205,0.0431820207498727
"Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima","species","juvenile",0,250,0.5,11.5,5.6,"epipelagic",0,0,1,1,0,"freshwater",0,0,1,1,0,0,1,0,1,"fusiform",2.5,38,0,0,0,0,0,1,1,0,"schooling",1,1,1,NA,"LC",0,0,5.975,NA,5.88587781,6.8,NA,5.88587781,4.43086040078263,3.65497793590626,3.1836487119304002,2.58822483693012,0.826282700893743,0.067465641979187
"Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"freshwater",0,0,0,0,0,0,NA,0,1,"elongated",0.57,2.5,0,0,0,0,0,0,0,0,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus glaber","species","adult",0,800,NA,NA,NA,"benthic",1,0,0,0,0,"coastal",0,0,1,1,1,0,1,1,0,"elongated",NA,4.3,1,1,1,0,0,0,0,0,"shoaling",1,1,0,NA,"NE",0,0,NA,NA,NA,NA,NA,NA,6.40754506667607,4.93535935437648,6.40754506667607,4.93535935437648,0.814451935637221,0.0277582113849352
"Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus glaber","species","juvenile",0,800,NA,NA,NA,"benthic",1,0,0,0,0,"coastal",0,0,1,1,1,0,1,1,0,"elongated",NA,NA,1,1,1,0,0,0,0,0,"shoaling",1,1,0,NA,"NE",0,0,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999
"Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus glaber","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"coastal",0,0,1,1,1,0,1,0,0,"elongated",NA,NA,1,0,1,1,0,0,0,0,"schooling",0,0,1,NA,"NE",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Perciformes","Amarsipidae","Amarsipus","Amarsipus carlsbergi","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"oceanic",0,0,0,0,0,1,NA,0,NA,"elongated",NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"NE",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","species","adult",0,275,0.5,8.9,3.4,"demersal",0,1,1,0,0,"coastal",1,0,1,0,0,0,1,1,1,"elongated",11,30,0,0,0,0,0,1,1,0,"schooling",0,0,1,3.13,"NE",1,0,3.84966209375,16.6270522727273,4.54421284090909,3.85092657142857,16.6151458333333,4.52352011627907,11.1629937866924,10.3523214921297,NA,NA,0.927567829536919,0.0284051509546867
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","species","juvenile",0,275,0.5,8.9,3.4,"demersal",0,1,1,0,0,"coastal",1,0,1,0,0,0,1,1,0,"elongated",2.6,11,0,0,0,0,0,1,1,0,"schooling",0,0,1,NA,"NE",0,0,3.84966209375,16.6270522727273,4.54421284090909,3.85092657142857,16.6151458333333,4.52352011627907,12.1128424002037,11.336209288057,NA,NA,0.935980082235186,0.0323525272705755
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"coastal",0,0,1,0,0,0,1,0,NA,"elongated",0.49,2.6,0,0,0,1,0,0,0,0,"schooling",0,0,1,NA,"NE",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
