"class","order","family","genus","sci_name","tax_level","lipid","protein","energy","lipid_pacific","protein_pacific","energy_pacific","n_lipid","n_protein","n_energy","n_lipid_pacific","n_protein_pacific","n_energy_pacific","sd_lipid","sd_protein","sd_energy","sd_lipid_pacific","sd_protein_pacific","sd_energy_pacific"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","species",6.14076366666667,13.6,5.04413576929825,6.14076366666667,13.6,5.04413576929825,6,3,57,6,3,57,4.47423206279588,1.3114877048604,0.849269255082578,4.47423206279588,1.3114877048604,0.849269255082578
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis","Atherinopsis californiensis","species",1.484,NA,NA,1.484,NA,NA,20,0,0,20,0,0,0.665387896366908,NA,NA,0.665387896366908,NA,NA
"Malacostraca","Amphipoda","Atylidae","Atylus","Atylus spp.","genus",NA,NA,2.717121235,NA,NA,2.717121235,0,0,4,0,0,4,NA,NA,0.269217695748402,NA,NA,0.269217695748402
"Malacostraca","Amphipoda","Atylidae","Atylus","Atylus tridens","species",5.4,NA,1.25,5.4,NA,1.25,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Anguilliformes","Nemichthyidae","Avocettina","Avocettina infans","species",2.8,7.3,3.1768,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides","Bathylagoides wesethi","species",2.4,8.5,2.85,2.4,8.5,2.85,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja interrupta","species",4.6,15.3,4.76666666666667,4.6,15.3,4.76666666666667,3,3,3,3,3,3,0.984885780179611,1.37477270848675,0.115470053837925,0.984885780179611,1.37477270848675,0.115470053837925
"Actinopterygii","Beloniformes","Belonidae","Belone","Belone belone","species",2.9,20.1,6.2,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale","species",10.6,13.95,7.08,NA,NA,NA,2,2,2,0,0,0,4.3840620433565904,0.0707106781186545,1.66877200360025,NA,NA,NA
"Elasmobranchii","Rajiformes","Rajidae","Beringraja","Beringraja binoculata","species",1.2,NA,NA,1.2,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Nuda","Beroida","Beroidae","Beroe","Beroe gracilis","species",0.164936,0.189054,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"Nuda","Beroida","Beroidae","Beroe","Beroe spp.","genus",0.094,0.436,0.1850465,NA,NA,0.19646,1,1,2,0,0,1,NA,NA,0.0161411264941452,NA,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis","Berryteuthis anonychus","species",NA,10.6,6.070312,NA,10.6,6.070312,0,1,5,0,1,5,NA,NA,1.21071193853864,NA,NA,1.21071193853864
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis","Berryteuthis magister","species",5.27142857142857,11.7142857142857,5.0985,5.27142857142857,11.7142857142857,5.0985,7,7,17,7,7,17,2.1967508474368,1.66175466643803,1.0509490010462,2.1967508474368,1.66175466643803,1.0509490010462
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis","Berryteuthis spp.","genus",NA,NA,4.80646060844333,NA,NA,4.80646060844333,0,0,3,0,0,3,NA,NA,1.45324788650018,NA,NA,1.45324788650018
"Actinopterygii","Beryciformes","Berycidae","Beryx","Beryx splendens","species",2.615,19.71,NA,NA,NA,NA,2,2,0,0,0,0,0.728319984622144,4.65276262020748,NA,NA,NA,NA
"Tentaculata","Lobata","Bolinopsidae","Bolinopsis","Bolinopsis infundibulum","species",0.0189357,0.049911,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Sparidae","Boops","Boops boops","species",5.8,19.8,8,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Bramidae","Brama","Brama brama","species",10.85,18.38,8.65,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Bramidae","Brama","Brama japonica","species",0.87,NA,NA,0.87,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Gadiformes","Bregmacerotidae","Bregmaceros","Bregmaceros mcclellandi","species",1.6,15,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"Hexanauplia","Calanoida","Calanidae","Calanus","Calanus finmarchicus","species",8.17,11,6.36,NA,NA,NA,2,1,1,0,0,0,1.79605122421383,NA,NA,NA,NA,NA
"Hexanauplia","Calanoida","Calanidae","Calanus","Calanus spp.","genus",NA,NA,3.39234104857143,NA,NA,3.39234104857143,0,0,7,0,0,7,NA,NA,0.732684687142752,NA,NA,0.732684687142752
"Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis","Canthidermis maculata","species",0.59,20.58,5.95780416,NA,NA,5.95780416,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Caproidae","Capros","Capros aper","species",4.8,17.2,6.2,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Centrolophidae","Centrolophus","Centrolophus niger","species",6.074,17.25,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus maderensis","species",8.2,NA,7.22,NA,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus townsendi","species",9.65,9.2,7.15666666666667,11.1666666666667,9.2,7.15666666666667,8,3,3,6,3,3,4.54155417073432,0.556776436283002,1.9691961134771,4.21552685517085,0.556776436283002,1.9691961134771
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus warmingii","species",6.525,11.5,NA,6.525,11.5,NA,4,1,0,4,1,0,9.38345174584847,NA,NA,9.38345174584847,NA,NA
"Actinopterygii","Stomiiformes","Stomiidae","Chauliodus","Chauliodus macouni","species",7.5,10.4,5.434,7.5,10.4,5.434,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Chiasmodontidae","Chiasmodon","Chiasmodon niger","species",56.89,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Ophidiiformes","Ophidiidae","Chilara","Chilara taylori","species",NA,NA,3.39,NA,NA,3.39,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Chiroteuthidae","Chiroteuthis","Chiroteuthis calyx","species",4.61,5.36975,2.94239831559,4.61,5.36975,2.94239831559,3,4,3,3,4,3,0.675499814951862,1.81343327696389,1.06467723219218,0.675499814951862,1.81343327696389,1.06467723219218
"Cephalopoda","Oegopsida","Chiroteuthidae","Chiroteuthis","Chiroteuthis veranii","species",1.2,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi","species",0.53,22.34,4.43,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys sordidus","species",9.23,16.85,3.32359748,9.23,16.85,3.32359748,4,2,4,4,2,4,9.01759021764314,0.212132034355965,1.22207364594128,9.01759021764314,0.212132034355965,1.22207364594128
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys stigmaeus","species",2.74,NA,3.71734353875,2.74,NA,3.71734353875,1,0,8,1,0,8,NA,NA,1.37150166499928,NA,NA,1.37150166499928
"Gastropoda","Pteropoda","Cliidae","Cilo","Clio pyramidata","species",1.59,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Gastropoda","Pteropoda","Clionidae","Clione","Clione antarctica","species",3.85966,1.82,1.96664,NA,NA,NA,2,1,1,0,0,0,1.8248163280725,NA,NA,NA,NA,NA
"Gastropoda","Pteropoda","Clionidae","Clione","Clione limacina","species",2.6492,2.6962,1.5094816,NA,NA,1.97296,3,1,2,0,0,1,1.12773131551802,NA,0.655457439146983,NA,NA,NA
"Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","species",10.9360202531646,15.7930188679245,7.15666445697674,10.9018666666667,15.7948076923077,7.15216183554687,79,53,129,78,52,128,5.25824146987203,1.44814547838269,2.61506855218884,5.28344915034951,1.46221493335016,2.62484185425365
"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis","Cololabis saira","species",7.72759294117647,19.152138,7.02493333333333,7.72759294117647,19.152138,7.02493333333333,34,2,6,34,2,6,4.46611819302256,0.0148110586387274,1.99701259552029,4.46611819302256,0.0148110586387274,1.99701259552029
"Actinopterygii","Perciformes","Nomeidae","Cubiceps","Cubiceps gracilis","species",18.9,NA,NA,18.9,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","Cyanea capillata","species",0.02613375,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","Cymatogaster aggregata","species",2.50842105263158,NA,5.1117213525,2.50842105263158,NA,5.1117213525,19,0,4,19,0,4,1.04243978327498,NA,0.457241550916344,1.04243978327498,NA,0.457241550916344
"Actinopterygii","Myctophiformes","Myctophidae","Dasyscopelus","Dasyscopelus asper","species",10.8,NA,NA,10.8,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Carangidae","Decapterus","Decapterus macarellus","species",NA,NA,6.52704,NA,NA,6.52704,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Carangidae","Decapterus","Decapterus macrosoma","species",9.715,23.535,NA,9.8,22.97,NA,2,2,0,1,1,0,0.120208152801713,0.7990306627408,NA,NA,NA,NA
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus","Diaphus effulgens","species",4.86,16.54,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus","Diaphus perspicillatus","species",3.15,NA,NA,3.15,NA,NA,2,0,0,2,0,0,1.48492424049175,NA,NA,1.48492424049175,NA,NA
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus","Diaphus theta","species",14.2125,12.8195,10.0904571428571,13.86,12.908,10.2116666666667,16,8,7,15,7,6,7.88626443043008,1.63160280530701,2.05867824817862,8.03152716308851,1.74146911160281,2.22763925864729
"Actinopterygii","Perciformes","Sparidae","Diplodus","Diplodus sargus","species",2.01,18.7,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Gempylidae","Diplospinus","Diplospinus multistriatus","species",NA,NA,10.21,NA,NA,10.21,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Cephalopoda","Myopsida","Loliginidae","Doryteuthis","Doryteuthis opalescens","species",1.17081504838575,16.3667041235691,4.3899307182656,1.20429142936457,16.3655149851252,4.42128473422706,30,29,46,29,28,45,0.310003004508148,1.58174995575446,0.772798189385312,0.254388116631031,1.61076211111185,0.751359419988927
"Cephalopoda","Oegopsida","Ommastrephidae","Dosidicus","Dosidicus gigas","species",0.6,14.5,5.3945,0.6,14.5,5.3945,1,1,2,1,1,2,NA,NA,1.6609938290072,NA,NA,1.6609938290072
"Actinopterygii","Myctophiformes","Myctophidae","Electrona","Electrona risso","species",NA,NA,5.155,NA,NA,5.155,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Cephalopoda","Octopoda","Eledonidae","Eledone","Eledone cirrhosa","species",2.8,16.2,4.7,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Malacostraca","Decapoda","Hippidae","Emerita","Emerita spp.","genus",NA,NA,2.04875627,NA,NA,2.04875627,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis capensis","species",4.231,19.7,5.13,NA,NA,NA,10,1,1,0,0,0,2.19957798982744,NA,NA,NA,NA,NA
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","species",3.4,19.6,5.39875,NA,NA,NA,1,1,4,0,0,0,NA,NA,0.545441335067301,NA,NA,NA
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis japonicus","species",6.25,17.45,5.22651428571429,7.7,18.3,5.24766666666667,2,2,7,1,1,6,2.05060966544099,1.20208152801713,1.33641891564555,NA,NA,1.46268939514398
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax","species",5.09364014796241,16.5189002523685,5.59659071346439,4.84988537178686,16.6548452649869,5.577755481301,24,21,41,23,20,40,3.46877119329814,1.08075417137096,1.3486097705188,3.32993819777508,0.906077493701891,1.36031780160982
"Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus","Entelurus aequoreus","species",1.9,14.7,4.7,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Petromyzonti","Petromyzontiformes","Petromyzontidae","Entosphenus","Entosphenus tridentatus","species",21.9,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta","Eopsetta jordani","species",4.9,15.9,4.5144,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Ommastrephidae","Eucleoteuthis","Eucleoteuthis luminosa","species",1.5,NA,NA,1.5,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia pacifica","species",2.148710921875,12.31323886,3.09097332428571,2.148710921875,12.31323886,3.09097332428571,48,10,14,48,10,14,1.44993133232275,2.65920040131796,0.356075115962745,1.44993133232275,2.65920040131796,0.356075115962745
"Malacostraca","Decapoda","Sergestidae","Eusergestes","Eusergestes arcticus","species",9.4,15.5,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"Malacostraca","Decapoda","Sergestidae","Eusergestes","Eusergestes similis","species",3.4212748,10.8836676,4.184,3.4212748,10.8836676,4.184,2,1,1,2,1,1,0.111334245540534,NA,NA,0.111334245540534,NA,NA
"Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla","Eutrigla gurnardus","species",1.55,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Malacostraca","Decapoda","Pinnotheridae","Fabia","Fabia subquadrata","species",NA,NA,3.57300604,NA,NA,3.57300604,0,0,6,0,0,6,NA,NA,0.68121369589048,NA,NA,0.68121369589048
"Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","species",1.96162,14.8742857142857,3.86730769230769,1.96162,14.8742857142857,3.86730769230769,10,7,26,10,7,26,0.701238505629702,0.761552299426576,0.285093075220114,0.701238505629702,0.761552299426576,0.285093075220114
"Actinopterygii","Gadiformes","Lotidae","Gaidropsarus","Gaidropsarus vulgaris","species",2.6,17.2,5.5,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis","Galiteuthis phyllura","species",3.3,9.3,3.51,3.3,9.3,3.51,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","species",NA,NA,5.39359333333333,NA,NA,5.39359333333333,0,0,3,0,0,3,NA,NA,0.878539482171025,NA,NA,0.878539482171025
"Malacostraca","Decapoda","Benthesicymidae","Gennadas","Gennadas elegans","species",5.6,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Malacostraca","Decapoda","Benthesicymidae","Gennadas","Gennadas spp.","genus",NA,NA,3.7003155993,NA,NA,3.7003155993,0,0,2,0,0,2,NA,NA,0.104463131828618,NA,NA,0.104463131828618
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus zachirus","species",1.13394857142857,12.12125,3.09548249916667,0.87294,11.6283333333333,3.07668999909091,7,4,12,6,3,11,0.745274458514637,3.65247946606138,0.881563581801432,0.307029050091355,4.30733192746198,0.922067295404377
"Cephalopoda","Oegopsida","Gonatidae","Gonatopsis","Gonatopsis borealis","species",2.83333333333333,10.5333333333333,4.10435909908571,2.83333333333333,10.5333333333333,4.10435909908571,3,3,7,3,3,7,1.00664459136943,1.32035348802256,0.680893618761155,1.00664459136943,1.32035348802256,0.680893618761155
"Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus berryi","species",6.2,8.9,5,6.2,8.9,5,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus onyx","species",16,10.5366666666667,6.29,16,10.5366666666667,6.29,2,3,2,2,3,2,5.65685424949238,2.91709330213028,2.22031529292576,5.65685424949238,2.91709330213028,2.22031529292576
"Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus spp.","genus",NA,NA,4.9020545181,NA,NA,4.9020545181,0,0,3,0,0,3,NA,NA,2.551187025818,NA,NA,2.551187025818
"Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus steenstrupi","species",10.9,13.7,5.34,NA,NA,NA,1,1,2,0,0,0,NA,NA,2.20617315730203,NA,NA,NA
"Cephalopoda","Oegopsida","Chiroteuthidae","Grimalditeuthis","Grimalditeuthis bonplandi","species",NA,1.84,NA,NA,1.84,NA,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Heliocolenus","Helicolenus dactylopterus","species",6.51,19.225,6.36,NA,NA,NA,2,2,2,0,0,0,8.04687516990291,1.44956890143242,4.01636651713959,NA,NA,NA
"Actinopterygii","Scorpaeniformes","Cottidae","Hemilepidotus","Hemilepidotus hemilepidotus","species",4.1316,NA,5.0697917725,4.1316,NA,5.0697917725,2,0,4,2,0,4,3.77368746983637,NA,1.67481795693273,3.77368746983637,NA,1.67481795693273
"Actinopterygii","Scorpaeniformes","Cottidae","Hemilepidotus","Hemilepidotus spinosus","species",NA,NA,5.3032518675,NA,NA,5.3032518675,0,0,4,0,0,4,NA,NA,1.65146950749111,NA,NA,1.65146950749111
"Actinopterygii","Scorpaeniformes","Cottidae","Hemilepidotus","Hemilepidotus spp.","genus",NA,NA,5.25348983,NA,NA,5.25348983,0,0,8,0,0,8,NA,NA,0.795220600460211,NA,NA,0.795220600460211
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","Hexagrammos spp.","genus",NA,NA,4.629912975,NA,NA,4.629912975,0,0,8,0,0,8,NA,NA,0.410713202240107,NA,NA,0.410713202240107
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides elassodon","species",1.5,NA,NA,1.5,NA,NA,2,0,0,2,0,0,0.565685424949238,NA,NA,0.565685424949238,NA,NA
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis","Histioteuthis heteropsis","species",NA,NA,1.916393202692,NA,NA,1.916393202692,0,0,5,0,0,5,NA,NA,0.697362791243877,NA,NA,0.697362791243877
"Malacostraca","Mysida","Mysidae","Holmesimysis","Holmesimysis sculpta","species",NA,NA,1.6,NA,NA,1.6,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Myctophiformes","Myctophidae","Hygophum","Hygophum hygomii","species",1.75,NA,6.06,1.75,NA,NA,2,0,1,2,0,0,0.0707106781186548,NA,NA,0.0707106781186548,NA,NA
"Malacostraca","Amphipoda","Hyperiidae","Hyperia","Hyperia galba","species",2.415,3.9445,NA,2.415,3.9445,NA,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA
"Malacostraca","Amphipoda","Hyperiidae",NA,"Hyperiidae spp.","family",NA,NA,2.40311653333333,NA,NA,2.40311653333333,0,0,3,0,0,3,NA,NA,0.187694175772014,NA,NA,0.187694175772014
"Actinopterygii","Osmeriformes","Osmeridae","Hypomesus","Hypomesus pretiosus","species",4.422,NA,5.33717276125,4.422,NA,5.33717276125,1,0,8,1,0,8,NA,NA,0.666819275777786,NA,NA,0.666819275777786
"Actinopterygii","Perciformes","Centrolophidae","Icichthys","Icichthys lockingtoni","species",16.2,NA,NA,16.2,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Stomiidae","Idiacanthus","Idiacanthus antrostomus","species",5.8,NA,NA,5.8,NA,NA,3,0,0,3,0,0,1.85202591774521,NA,NA,1.85202591774521,NA,NA
"Cephalopoda","Oegopsida","Ommastrephidae","Illex","Illex argentinus","species",4.51,13.88,5.717,NA,NA,NA,2,1,2,0,0,0,4.79418397644479,NA,0.994192134348286,NA,NA,NA
"Cephalopoda","Oegopsida","Ommastrephidae","Illex","Illex coindetii","species",1.46,17.3,4.3,NA,NA,NA,2,1,1,0,0,0,0.622253967444162,NA,NA,NA,NA,NA
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Isopsetta","Isopsetta isolepis","species",NA,NA,4.177923072,NA,NA,4.177923072,0,0,5,0,0,5,NA,NA,1.39298548456073,NA,NA,1.39298548456073
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Isopsetta","Isopsetta lepidopsetta","species",NA,NA,3.20177624,NA,NA,3.20177624,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Cephalopoda","Octopoda","Amphitretidae","Japetella","Japetella heathi","species",NA,13.8,2.8,NA,13.8,2.8,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Scombridae","Katsuwonus","Katsuwonus pelamis","species",0.41,24.13,6.12956,NA,NA,6.12956,1,1,2,0,0,2,NA,NA,0.0887560431745353,NA,NA,0.0887560431745353
"Actinopterygii","Myctophiformes","Myctophidae","Lampadena","Lampadena luminosa","species",1,11.2,3.971,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes","Lampanyctodes hectoris","species",18.4,14.7,NA,NA,NA,NA,7,5,0,0,0,0,4.38025874426005,0.836660026534076,NA,NA,NA,NA
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus alatus","species",1.3,13.8,3.838,NA,NA,NA,2,1,1,0,0,0,1.5556349186104,NA,NA,NA,NA,NA
